"Absolute Path","Relative Path","Label"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3823.text","..\python\data_random\3823.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1598.text","..\python\data_random\1598.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5733.text","..\python\data_random\5733.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4099.text","..\python\data_random\4099.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6126.text","..\python\data_random\6126.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7445.text","..\python\data_random\7445.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6541.text","..\python\data_random\6541.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6656.text","..\python\data_random\6656.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1937.text","..\python\data_random\1937.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9760.text","..\python\data_random\9760.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1997.text","..\python\data_random\1997.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7903.text","..\python\data_random\7903.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5841.text","..\python\data_random\5841.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3679.text","..\python\data_random\3679.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5579.text","..\python\data_random\5579.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4720.text","..\python\data_random\4720.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4972.text","..\python\data_random\4972.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9260.text","..\python\data_random\9260.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2721.text","..\python\data_random\2721.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\764.text","..\python\data_random\764.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2539.text","..\python\data_random\2539.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\699.text","..\python\data_random\699.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1347.text","..\python\data_random\1347.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2473.text","..\python\data_random\2473.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8629.text","..\python\data_random\8629.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6725.text","..\python\data_random\6725.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\312.text","..\python\data_random\312.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\855.text","..\python\data_random\855.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5243.text","..\python\data_random\5243.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1465.text","..\python\data_random\1465.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3102.text","..\python\data_random\3102.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7928.text","..\python\data_random\7928.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1765.text","..\python\data_random\1765.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3816.text","..\python\data_random\3816.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8185.text","..\python\data_random\8185.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2251.text","..\python\data_random\2251.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9416.text","..\python\data_random\9416.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6118.text","..\python\data_random\6118.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4775.text","..\python\data_random\4775.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3419.text","..\python\data_random\3419.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6851.text","..\python\data_random\6851.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7433.text","..\python\data_random\7433.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4617.text","..\python\data_random\4617.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4582.text","..\python\data_random\4582.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\366.text","..\python\data_random\366.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6184.text","..\python\data_random\6184.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1983.text","..\python\data_random\1983.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1601.text","..\python\data_random\1601.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3530.text","..\python\data_random\3530.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2552.text","..\python\data_random\2552.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6974.text","..\python\data_random\6974.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4110.text","..\python\data_random\4110.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1762.text","..\python\data_random\1762.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1286.text","..\python\data_random\1286.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2800.text","..\python\data_random\2800.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9983.text","..\python\data_random\9983.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8159.text","..\python\data_random\8159.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3913.text","..\python\data_random\3913.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5858.text","..\python\data_random\5858.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9220.text","..\python\data_random\9220.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5472.text","..\python\data_random\5472.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1931.text","..\python\data_random\1931.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8295.text","..\python\data_random\8295.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7075.text","..\python\data_random\7075.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9899.text","..\python\data_random\9899.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4505.text","..\python\data_random\4505.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3787.text","..\python\data_random\3787.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3545.text","..\python\data_random\3545.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9293.text","..\python\data_random\9293.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3181.text","..\python\data_random\3181.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4966.text","..\python\data_random\4966.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6738.text","..\python\data_random\6738.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8697.text","..\python\data_random\8697.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2155.text","..\python\data_random\2155.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7553.text","..\python\data_random\7553.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2898.text","..\python\data_random\2898.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4614.text","..\python\data_random\4614.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9375.text","..\python\data_random\9375.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4513.text","..\python\data_random\4513.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3392.text","..\python\data_random\3392.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9826.text","..\python\data_random\9826.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7920.text","..\python\data_random\7920.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1359.text","..\python\data_random\1359.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6584.text","..\python\data_random\6584.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5729.text","..\python\data_random\5729.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5835.text","..\python\data_random\5835.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2787.text","..\python\data_random\2787.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6806.text","..\python\data_random\6806.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8278.text","..\python\data_random\8278.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\531.text","..\python\data_random\531.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3949.text","..\python\data_random\3949.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8602.text","..\python\data_random\8602.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1586.text","..\python\data_random\1586.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7937.text","..\python\data_random\7937.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5026.text","..\python\data_random\5026.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1191.text","..\python\data_random\1191.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\746.text","..\python\data_random\746.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3282.text","..\python\data_random\3282.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4328.text","..\python\data_random\4328.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4776.text","..\python\data_random\4776.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4090.text","..\python\data_random\4090.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\241.text","..\python\data_random\241.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4478.text","..\python\data_random\4478.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7668.text","..\python\data_random\7668.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7862.text","..\python\data_random\7862.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\93.text","..\python\data_random\93.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3457.text","..\python\data_random\3457.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7153.text","..\python\data_random\7153.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5530.text","..\python\data_random\5530.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5237.text","..\python\data_random\5237.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7136.text","..\python\data_random\7136.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8580.text","..\python\data_random\8580.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3341.text","..\python\data_random\3341.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5337.text","..\python\data_random\5337.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8005.text","..\python\data_random\8005.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7795.text","..\python\data_random\7795.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5985.text","..\python\data_random\5985.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\556.text","..\python\data_random\556.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5419.text","..\python\data_random\5419.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3555.text","..\python\data_random\3555.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5563.text","..\python\data_random\5563.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1811.text","..\python\data_random\1811.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5917.text","..\python\data_random\5917.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7026.text","..\python\data_random\7026.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9627.text","..\python\data_random\9627.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1771.text","..\python\data_random\1771.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4627.text","..\python\data_random\4627.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4194.text","..\python\data_random\4194.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5365.text","..\python\data_random\5365.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\447.text","..\python\data_random\447.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3860.text","..\python\data_random\3860.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3333.text","..\python\data_random\3333.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1472.text","..\python\data_random\1472.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3604.text","..\python\data_random\3604.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6983.text","..\python\data_random\6983.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7120.text","..\python\data_random\7120.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9992.text","..\python\data_random\9992.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4056.text","..\python\data_random\4056.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4912.text","..\python\data_random\4912.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2719.text","..\python\data_random\2719.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9406.text","..\python\data_random\9406.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8932.text","..\python\data_random\8932.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2561.text","..\python\data_random\2561.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4765.text","..\python\data_random\4765.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7798.text","..\python\data_random\7798.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2389.text","..\python\data_random\2389.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2299.text","..\python\data_random\2299.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2803.text","..\python\data_random\2803.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9291.text","..\python\data_random\9291.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9450.text","..\python\data_random\9450.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6229.text","..\python\data_random\6229.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9289.text","..\python\data_random\9289.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7659.text","..\python\data_random\7659.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3470.text","..\python\data_random\3470.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6907.text","..\python\data_random\6907.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6763.text","..\python\data_random\6763.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5745.text","..\python\data_random\5745.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5103.text","..\python\data_random\5103.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\535.text","..\python\data_random\535.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8975.text","..\python\data_random\8975.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8166.text","..\python\data_random\8166.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3544.text","..\python\data_random\3544.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6168.text","..\python\data_random\6168.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4579.text","..\python\data_random\4579.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1824.text","..\python\data_random\1824.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8775.text","..\python\data_random\8775.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\619.text","..\python\data_random\619.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8280.text","..\python\data_random\8280.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5823.text","..\python\data_random\5823.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1305.text","..\python\data_random\1305.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6918.text","..\python\data_random\6918.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6224.text","..\python\data_random\6224.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1079.text","..\python\data_random\1079.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5905.text","..\python\data_random\5905.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2112.text","..\python\data_random\2112.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2852.text","..\python\data_random\2852.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3242.text","..\python\data_random\3242.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5166.text","..\python\data_random\5166.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9548.text","..\python\data_random\9548.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3231.text","..\python\data_random\3231.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\737.text","..\python\data_random\737.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1935.text","..\python\data_random\1935.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\98.text","..\python\data_random\98.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5346.text","..\python\data_random\5346.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2178.text","..\python\data_random\2178.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4564.text","..\python\data_random\4564.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1568.text","..\python\data_random\1568.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8527.text","..\python\data_random\8527.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\946.text","..\python\data_random\946.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6926.text","..\python\data_random\6926.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2914.text","..\python\data_random\2914.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\802.text","..\python\data_random\802.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3583.text","..\python\data_random\3583.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3028.text","..\python\data_random\3028.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8030.text","..\python\data_random\8030.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1537.text","..\python\data_random\1537.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9751.text","..\python\data_random\9751.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8934.text","..\python\data_random\8934.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4127.text","..\python\data_random\4127.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1257.text","..\python\data_random\1257.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3844.text","..\python\data_random\3844.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4484.text","..\python\data_random\4484.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9852.text","..\python\data_random\9852.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6022.text","..\python\data_random\6022.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2837.text","..\python\data_random\2837.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1745.text","..\python\data_random\1745.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7846.text","..\python\data_random\7846.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9737.text","..\python\data_random\9737.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1739.text","..\python\data_random\1739.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1144.text","..\python\data_random\1144.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3942.text","..\python\data_random\3942.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8810.text","..\python\data_random\8810.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2640.text","..\python\data_random\2640.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\660.text","..\python\data_random\660.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1395.text","..\python\data_random\1395.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5448.text","..\python\data_random\5448.text","1"
